Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,SalePrice
1,Gd,TA,No,GLQ,706,Unf,0,150,856,1,0,2,1,3,1,Gd,8,Attchd,2003.0,RFn,2,548,TA,TA,208500
2,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,0,1,2,0,3,1,TA,6,Attchd,1976.0,RFn,2,460,TA,TA,181500
3,Gd,TA,Mn,GLQ,486,Unf,0,434,920,1,0,2,1,3,1,Gd,6,Attchd,2001.0,RFn,2,608,TA,TA,223500
4,TA,Gd,No,ALQ,216,Unf,0,540,756,1,0,1,0,3,1,Gd,7,Detchd,1998.0,Unf,3,642,TA,TA,140000
5,Gd,TA,Av,GLQ,655,Unf,0,490,1145,1,0,2,1,4,1,Gd,9,Attchd,2000.0,RFn,3,836,TA,TA,250000
6,Gd,TA,No,GLQ,732,Unf,0,64,796,1,0,1,1,1,1,TA,5,Attchd,1993.0,Unf,2,480,TA,TA,143000
7,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,1,0,2,0,3,1,Gd,7,Attchd,2004.0,RFn,2,636,TA,TA,307000
8,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,1,0,2,1,3,1,TA,7,Attchd,1973.0,RFn,2,484,TA,TA,200000
9,TA,TA,No,Unf,0,Unf,0,952,952,0,0,2,0,2,2,TA,8,Detchd,1931.0,Unf,2,468,Fa,TA,129900
10,TA,TA,No,GLQ,851,Unf,0,140,991,1,0,1,0,2,2,TA,5,Attchd,1939.0,RFn,1,205,Gd,TA,118000
11,TA,TA,No,Rec,906,Unf,0,134,1040,1,0,1,0,3,1,TA,5,Detchd,1965.0,Unf,1,384,TA,TA,129500
12,Ex,TA,No,GLQ,998,Unf,0,177,1175,1,0,3,0,4,1,Ex,11,BuiltIn,2005.0,Fin,3,736,TA,TA,345000
13,TA,TA,No,ALQ,737,Unf,0,175,912,1,0,1,0,2,1,TA,4,Detchd,1962.0,Unf,1,352,TA,TA,144000
14,Gd,TA,Av,Unf,0,Unf,0,1494,1494,0,0,2,0,3,1,Gd,7,Attchd,2006.0,RFn,3,840,TA,TA,279500
15,TA,TA,No,BLQ,733,Unf,0,520,1253,1,0,1,1,2,1,TA,5,Attchd,1960.0,RFn,1,352,TA,TA,157000
16,TA,TA,No,Unf,0,Unf,0,832,832,0,0,1,0,2,1,TA,5,Detchd,1991.0,Unf,2,576,TA,TA,132000
17,TA,TA,No,ALQ,578,Unf,0,426,1004,1,0,1,0,2,1,TA,5,Attchd,1970.0,Fin,2,480,TA,TA,149000
18,,,,,0,,0,0,0,0,0,2,0,2,2,TA,6,CarPort,1967.0,Unf,2,516,TA,TA,90000
19,TA,TA,No,GLQ,646,Unf,0,468,1114,1,0,1,1,3,1,Gd,6,Detchd,2004.0,Unf,2,576,TA,TA,159000
20,TA,TA,No,LwQ,504,Unf,0,525,1029,0,0,1,0,3,1,TA,6,Attchd,1958.0,Unf,1,294,TA,TA,139000
21,Ex,TA,Av,Unf,0,Unf,0,1158,1158,0,0,3,1,4,1,Gd,9,BuiltIn,2005.0,RFn,3,853,TA,TA,325300
22,TA,TA,No,Unf,0,Unf,0,637,637,0,0,1,0,3,1,Gd,6,Attchd,1930.0,Unf,1,280,TA,TA,139400
23,Gd,TA,No,Unf,0,Unf,0,1777,1777,0,0,2,0,3,1,Gd,7,Attchd,2002.0,RFn,2,534,TA,TA,230000
24,Gd,TA,No,GLQ,840,Unf,0,200,1040,1,0,1,0,3,1,TA,6,Attchd,1976.0,Unf,2,572,TA,TA,129900
25,TA,TA,Mn,Rec,188,ALQ,668,204,1060,1,0,1,0,3,1,Gd,6,Attchd,1968.0,Unf,1,270,TA,TA,154000
26,Gd,TA,No,Unf,0,Unf,0,1566,1566,0,0,2,0,3,1,Gd,7,Attchd,2007.0,RFn,3,890,TA,TA,256300
27,TA,TA,Mn,BLQ,234,Rec,486,180,900,0,1,1,0,3,1,Gd,5,Detchd,2005.0,Unf,2,576,TA,TA,134800
28,Ex,TA,No,GLQ,1218,Unf,0,486,1704,1,0,2,0,3,1,Gd,7,Attchd,2008.0,RFn,3,772,TA,TA,306000
29,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,1,0,1,0,2,1,TA,6,Attchd,1957.0,RFn,1,319,TA,TA,207500
30,TA,TA,No,Unf,0,Unf,0,520,520,0,0,1,0,1,1,Fa,4,Detchd,1920.0,Unf,1,240,Fa,TA,68500
31,TA,TA,No,Unf,0,Unf,0,649,649,0,0,1,0,3,1,TA,6,Detchd,1920.0,Unf,1,250,TA,Fa,40000
32,TA,TA,No,Unf,0,Unf,0,1228,1228,0,0,1,1,3,1,Gd,6,Attchd,1966.0,Unf,1,271,TA,TA,149350
33,Ex,TA,Av,Unf,0,Unf,0,1234,1234,0,0,2,0,3,1,Gd,7,Attchd,2007.0,RFn,2,484,TA,TA,179900
34,TA,TA,No,Rec,1018,Unf,0,380,1398,0,1,1,1,4,1,Gd,6,Attchd,1959.0,RFn,2,447,TA,TA,165500
35,Ex,TA,No,GLQ,1153,Unf,0,408,1561,1,0,2,0,2,1,Ex,6,Attchd,2005.0,Fin,2,556,TA,TA,277500
36,Ex,TA,Av,Unf,0,Unf,0,1117,1117,0,0,3,1,4,1,Gd,9,BuiltIn,2004.0,Fin,3,691,TA,TA,309000
37,Gd,TA,No,Unf,0,Unf,0,1097,1097,0,0,1,1,3,1,TA,6,Attchd,1995.0,Unf,2,672,TA,TA,145000
38,TA,TA,No,Rec,1213,Unf,0,84,1297,0,1,1,0,3,1,TA,5,Attchd,1954.0,Fin,2,498,TA,TA,153000
39,TA,TA,No,GLQ,731,Unf,0,326,1057,1,0,1,0,3,1,Gd,5,Detchd,1953.0,Unf,1,246,TA,TA,109000
40,,,,,0,,0,0,0,0,0,2,0,2,2,Fa,6,,,,0,0,,,82000
41,TA,TA,No,Rec,643,Unf,0,445,1088,0,0,2,0,3,1,TA,6,Attchd,1965.0,RFn,2,440,TA,TA,160000
